Station;Maximale;Moyenne;Minimale;Précipitations
À la Baleine;6,8;-6;-18,7;0
Adstock (forêt);12,8;6;-0,8;0
Akulivik;-3,6;-7,1;-10,5;0,2
Albanel-2;12,9;4,9;-3,2;0
Amqui-2;12;1,8;-8,4;0
Armagh-2;6,1;2,6;-1;0
Arthabaska;14,5;9,8;5;0
Arundel;0;0;5,5;0
Auclair;11,6;4;-3,6;0
Aux Écorces;15,4;6,1;-3,3;1,2
Baie Déception;4,2;0,1;-4;0
Baie-Johan-Beetz;3,6;-1,5;-6,6;0
Barrage Angliers;16,9;10,6;4,3;0
Barrage Choinière;16,3;12,2;8;1,1
Barrage des Rapides-des-Cèdres;19,8;11,7;3,6;0
Barrage Jules-Allard;13,4;6;-1,4;4
Barrage Morin;12,2;4,3;-3,7;0
Barrage Saint-Didace;15;7,7;0,4;0
Bécancour;14,9;9,3;3,6;0
Belleterre;15,7;9,9;4;0
Bonsecours;11;8;4,9;0
Brodtkorb;18,4;10,6;2,7;2,1
Bromptonville;14,3;10,2;6,1;0
Brossard - Parc Sorbonne;16,8;11,2;5,5;0
Cap-Éternité;10,7;3,9;-2,9;0
Champlain;11,1;7;2,8;0
Chapais-2;10,3;5,3;0,2;0
Charette;13,5;8,1;2,6;0
Charny;8;5;2;0
Charteris;21,7;13;4,2;0
Chelsea;0;0;6,1;0
Chénéville;19,7;12,3;4,8;0
Chicoutimi;11,9;4,8;-2,3;0
Chouart;17,5;8,6;-0,3;0
Coaticook;12,6;9,3;5,9;0
Commissaire;14,2;5,7;-2,8;0,7
Coteau-du-Lac;10,4;7,6;4,8;0
Côte-Ouimet;12,2;4,5;-3,2;0
Danville;13,9;9,1;4,3;0
Dépot-John;14;3,3;-7,3;0
Dixville;11,8;6,6;1,3;0
Drummondville;15,5;9,8;4;0
Drummondville - Stade Jacques-Desautels;16,9;10,9;4,9;0
Falardeau;12,6;6,8;1;0
Farnham;17,3;11,7;6,1;0
Ferme-Neuve-2;15,8;9;2,1;0
Fildegrand;15,6;8,6;1,5;0
Fleury;14,7;8,7;2,6;0
Forestville - Route 385;0;0;-6,6;0
Forêt-Montmorency;10,2;1,5;-7,3;0,5
Fortierville;11,4;6,6;1,7;0
Frampton (forêt);13,3;5,5;-2,4;0
